customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code
1,Emily,Wilson,emily.wilson1@example.com,555-101-1001,101 Elm St,Smalltown,TX,23456
2,James,Robinson,james.robinson2@example.com,555-102-1002,102 Oak St,Bigcity,NY,34567
3,Linda,King,linda.king3@example.com,555-103-1003,103 Pine St,Ruraltown,WA,45678
4,Matthew,Ward,matthew.ward4@example.com,555-104-1004,104 Maple St,Suburbia,FL,56789
5,Ashley,Ross,ashley.ross5@example.com,555-105-1005,105 Cedar St,Uptown,IL,67890
6,Justin,Reed,justin.reed6@example.com,555-106-1006,106 Birch St,Downtown,MI,78901
7,Kayla,Sanders,kayla.sanders7@example.com,555-107-1007,107 Willow St,Countryside,OH,89012
8,Andrew,Powell,andrew.powell8@example.com,555-108-1008,108 Cherry St,Seaside,OR,90123
9,Alyssa,Simmons,alyssa.simmons9@example.com,555-109-1009,109 Walnut St,Mountainside,CO,01234
10,Kelsey,Diaz,kelsey.diaz10@example.com,555-110-1010,110 Main St,Beachtown,CA,23456
11,Nathan,Miller,nathan.miller11@example.com,555-111-1011,111 Elm St,Lakeside,AZ,85001
12,Courtney,Clark,courtney.clark12@example.com,555-112-1012,112 Oak St,Rivertown,GA,30301
13,Steven,Allen,steven.allen13@example.com,555-113-1013,113 Pine St,Hilldale,NC,27501
14,Peter,Carter,peter.carter14@example.com,555-114-1014,114 Maple St,Plainview,NJ,07001
15,Morgan,Russell,morgan.russell15@example.com,555-115-1015,115 Cedar St,Fairview,PA,19001
16,Ryan,Brooks,ryan.brooks16@example.com,555-116-1016,116 Birch St,Anytown,CA,12345
17,Rachel,Gomez,rachel.gomez17@example.com,555-117-1017,117 Willow St,Smalltown,TX,23456
18,Brian,Jenkins,brian.jenkins18@example.com,555-118-1018,118 Cherry St,Bigcity,NY,34567
19,Laura,Washington,laura.washington19@example.com,555-119-1019,119 Walnut St,Ruraltown,WA,45678
20,Charles,Russell,charles.russell20@example.com,555-120-1020,120 Main St,Suburbia,FL,56789
21,Amy,Davis,amy.davis21@example.com,555-121-1021,121 Elm St,Uptown,IL,67890
22,Jeffrey,White,jeffrey.white22@example.com,555-122-1022,122 Oak St,Downtown,MI,78901
23,Helen,Young,helen.young23@example.com,555-123-1023,123 Pine St,Countryside,OH,89012
24,Edward,Green,edward.green24@example.com,555-124-1024,124 Maple St,Seaside,OR,90123
25,Carol,Richardson,carol.richardson25@example.com,555-125-1025,125 Cedar St,Mountainside,CO,01234
26,Paul,Rivera,paul.rivera26@example.com,555-126-1026,126 Birch St,Beachtown,CA,23456
27,Alice,Hughes,alice.hughes27@example.com,555-127-1027,127 Willow St,Lakeside,AZ,85001
28,David,Henderson,david.henderson28@example.com,555-128-1028,128 Cherry St,Rivertown,GA,30301
29,Jennifer,Hughes,jennifer.hughes29@example.com,555-129-1029,129 Walnut St,Hilldale,NC,27501
30,Christopher,Bryant,christopher.bryant30@example.com,555-130-1030,130 Main St,Plainview,NJ,07001
31,Samantha,Johnson,samantha.johnson31@example.com,555-131-1031,131 Elm St,Fairview,PA,19001
32,Daniel,Taylor,daniel.taylor32@example.com,555-132-1032,132 Oak St,Anytown,CA,12345
33,Lauren,Lewis,lauren.lewis33@example.com,555-133-1033,133 Pine St,Smalltown,TX,23456
34,Brandon,Scott,brandon.scott34@example.com,555-134-1034,134 Maple St,Bigcity,NY,34567
35,Megan,Collins,megan.collins35@example.com,555-135-1035,135 Cedar St,Ruraltown,WA,45678
36,Morgan,Peterson,morgan.peterson36@example.com,555-136-1036,136 Birch St,Suburbia,FL,56789
37,Cody,Sullivan,cody.sullivan37@example.com,555-137-1037,137 Willow St,Uptown,IL,67890
38,Brianna,Wood,brianna.wood38@example.com,555-138-1038,138 Cherry St,Downtown,MI,78901
39,Dylan,Long,dylan.long39@example.com,555-139-1039,139 Walnut St,Countryside,OH,89012
40,Taylor,Foster,taylor.foster40@example.com,555-140-1040,140 Main St,Seaside,OR,90123
